GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-batch-support-samples-starter,com.namics.oss.spring.support.batch.starter.sample.service,MyOwnJobService,19,0,0,0,6,0,3,0,3,0
spring-batch-support-samples-starter,com.namics.oss.spring.support.batch.starter.sample.tasklet,LongRunningTasklet,20,10,0,0,7,4,1,2,1,2
spring-batch-support-samples-starter,com.namics.oss.spring.support.batch.starter.sample,Application,5,3,0,0,2,1,1,1,1,1
spring-batch-support-samples-starter,com.namics.oss.spring.support.batch.starter.sample.jobs,LegacyCleanUpJobConfig,0,25,0,0,0,7,0,3,0,3
spring-batch-support-samples-starter,com.namics.oss.spring.support.batch.starter.sample.jobs,LongRunningJobConfig,0,23,0,0,0,7,0,3,0,3
spring-batch-support-samples-starter,com.namics.oss.spring.support.batch.starter.sample.config,OwnServiceConfiguration,12,0,0,0,2,0,2,0,2,0
spring-batch-support-samples-starter,com.namics.oss.spring.support.batch.starter.sample.controller,TestController,2,3,0,0,1,1,1,1,1,1
